,DATA,PATIVA,PREATIVA,IDMEDIDOR
0,2019-03-14 00:30:00,739.26,132.3,2004001
1,2019-03-14 00:45:00,711.72,133.38,2004001
2,2019-03-14 01:00:00,969.3,162.54,2004001
3,2019-03-14 01:15:00,1074.6,146.34,2004001
4,2019-03-14 01:30:00,1071.9,144.72,2004001
5,2019-03-14 01:45:00,1029.78,158.76,2004001
6,2019-03-14 02:00:00,976.32,153.9,2004001
7,2019-03-14 02:15:00,991.98,177.66,2004001
8,2019-03-14 02:30:00,1003.86,163.62,2004001
9,2019-03-14 02:45:00,905.04,151.2,2004001
10,2019-03-14 03:00:00,950.94,156.6,2004001
11,2019-03-14 03:15:00,932.04,132.84,2004001
12,2019-03-14 03:30:00,906.66,124.2,2004001
13,2019-03-14 03:45:00,675.0,83.7,2004001
14,2019-03-14 04:00:00,547.56,95.58,2004001
15,2019-03-14 04:15:00,794.34,129.6,2004001
16,2019-03-15 07:15:00,475.74,113.94,2004001
17,2019-03-15 07:30:00,440.64,111.78,2004001
18,2019-03-15 07:45:00,396.9,91.26,2004001
19,2019-03-15 08:00:00,507.6,119.88,2004001
20,2019-03-15 08:15:00,530.82,99.9,2004001
21,2019-03-15 08:30:00,289.44,93.96,2004001
22,2019-03-15 08:45:00,336.96,102.6,2004001
23,2019-03-15 09:00:00,373.68,109.62,2004001
24,2019-03-15 09:15:00,317.52,82.08,2004001
25,2019-03-15 09:30:00,243.54,77.22,2004001
26,2019-03-15 09:45:00,231.12,90.18,2004001
27,2019-03-15 10:00:00,246.24,95.04,2004001
28,2019-03-15 10:15:00,171.72,83.7,2004001
29,2019-03-15 10:30:00,162.0,83.7,2004001
30,2019-03-15 10:45:00,165.78,83.16,2004001
31,2019-03-15 11:00:00,151.74,75.6,2004001
32,2019-03-15 11:15:00,156.6,77.22,2004001
33,2019-03-15 11:30:00,169.02,88.02,2004001
34,2019-03-15 11:45:00,194.94,102.06,2004001
35,2019-03-15 12:00:00,158.76,78.84,2004001
36,2019-03-15 12:15:00,159.3,82.08,2004001
37,2019-03-15 12:30:00,156.6,80.46,2004001
38,2019-03-15 12:45:00,144.72,67.5,2004001
39,2019-03-15 13:00:00,149.04,58.86,2004001
40,2019-03-15 13:15:00,151.74,57.78,2004001
41,2019-03-15 13:30:00,136.08,61.56,2004001
42,2019-03-15 13:45:00,171.72,0.0,2004001
43,2019-03-15 14:00:00,155.52,0.0,2004001
44,2019-03-15 14:15:00,157.14,0.0,2004001
45,2019-03-15 14:30:00,154.98,0.0,2004001
46,2019-03-15 14:45:00,144.18,0.0,2004001
47,2019-03-15 15:00:00,157.68,0.0,2004001
48,2019-03-15 15:15:00,156.06,0.0,2004001
49,2019-03-15 15:30:00,158.76,0.0,2004001
50,2019-03-15 15:45:00,188.46,0.0,2004001
51,2019-03-15 16:00:00,155.52,0.0,2004001
52,2019-03-15 16:15:00,153.9,0.0,2004001
53,2019-03-15 16:30:00,151.2,0.0,2004001
54,2019-03-15 16:45:00,156.6,0.0,2004001
55,2019-03-15 17:00:00,149.04,0.0,2004001
56,2019-03-15 17:15:00,146.88,0.0,2004001
57,2019-03-15 17:30:00,182.52,0.0,2004001
58,2019-03-15 17:45:00,141.48,0.0,2004001
59,2019-03-15 18:00:00,131.22,0.0,2004001
60,2019-03-15 18:15:00,132.84,0.0,2004001
61,2019-03-15 18:30:00,143.1,0.0,2004001
62,2019-03-15 18:45:00,151.74,0.0,2004001
63,2019-03-15 19:00:00,150.66,0.0,2004001
64,2019-03-15 19:15:00,150.12,0.0,2004001
65,2019-03-15 19:30:00,184.68,0.0,2004001
66,2019-03-15 19:45:00,156.06,76.68,2004001
67,2019-03-15 20:00:00,160.38,81.0,2004001
68,2019-03-15 20:15:00,146.34,65.88,2004001
69,2019-03-15 20:30:00,164.7,69.12,2004001
70,2019-03-15 20:45:00,154.44,69.12,2004001
71,2019-03-15 21:00:00,206.82,96.12,2004001
72,2019-03-15 21:15:00,268.92,79.38,2004001
73,2019-03-15 21:30:00,243.0,69.12,2004001
74,2019-03-15 21:45:00,264.06,76.68,2004001
75,2019-03-15 22:00:00,244.08,64.8,2004001
76,2019-03-15 22:15:00,246.24,69.66,2004001
77,2019-03-15 22:30:00,259.74,65.88,2004001
78,2019-03-15 22:45:00,259.74,66.42,2004001
79,2019-03-15 23:00:00,241.92,66.96,2004001
80,2019-03-15 23:15:00,233.82,66.42,2004001
81,2019-03-15 23:30:00,324.0,96.66,2004001
82,2019-03-15 23:45:00,268.92,85.86,2004001
83,2019-03-16 00:00:00,263.52,79.38,2004001
84,2019-03-16 00:15:00,254.34,49.14,2004001
85,2019-03-16 00:30:00,285.12,77.76,2004001
86,2019-03-16 00:45:00,294.3,98.82,2004001
87,2019-03-16 01:00:00,226.26,75.6,2004001
88,2019-03-16 01:15:00,318.6,75.6,2004001
89,2019-03-16 01:30:00,377.46,108.0,2004001
90,2019-03-16 01:45:00,237.6,78.84,2004001
91,2019-03-16 02:00:00,238.14,84.24,2004001
92,2019-03-16 02:15:00,302.4,97.74,2004001
93,2019-03-16 02:30:00,391.5,115.56,2004001
94,2019-03-16 02:45:00,337.5,86.4,2004001
95,2019-03-16 03:00:00,203.58,57.78,2004001
96,2019-03-16 03:15:00,250.02,83.7,2004001
97,2019-03-16 03:30:00,343.98,99.9,2004001
98,2019-03-16 03:45:00,344.52,89.64,2004001
99,2019-03-16 04:00:00,252.72,65.88,2004001
100,2019-03-16 04:15:00,266.22,90.18,2004001
101,2019-03-16 04:30:00,176.04,78.84,2004001
102,2019-03-16 04:45:00,139.32,67.5,2004001
103,2019-03-16 05:00:00,142.02,73.98,2004001
104,2019-03-16 05:15:00,178.74,98.28,2004001
105,2019-03-16 05:30:00,129.6,71.82,2004001
106,2019-03-16 05:45:00,129.06,69.12,2004001
107,2019-03-16 06:00:00,132.3,73.98,2004001
108,2019-03-16 06:15:00,131.76,73.44,2004001
109,2019-03-16 06:30:00,120.42,65.88,2004001
110,2019-03-16 06:45:00,122.04,68.58,2004001
111,2019-03-16 07:00:00,151.2,86.94,2004001
112,2019-03-16 07:15:00,133.38,76.68,2004001
113,2019-03-16 07:30:00,89.64,48.06,2004001
114,2019-03-16 07:45:00,99.36,34.56,2004001
115,2019-03-16 08:00:00,118.8,56.16,2004001
116,2019-03-16 08:15:00,160.38,86.94,2004001
117,2019-03-16 08:30:00,157.68,77.76,2004001
118,2019-03-16 08:45:00,155.52,73.98,2004001
119,2019-03-16 09:00:00,197.1,97.2,2004001
120,2019-03-16 09:15:00,160.38,78.84,2004001
121,2019-03-16 09:30:00,154.98,77.22,2004001
122,2019-03-16 09:45:00,150.12,74.52,2004001
123,2019-03-16 10:00:00,153.36,77.76,2004001
124,2019-03-16 10:15:00,150.66,75.6,2004001
125,2019-03-16 10:30:00,144.72,73.44,2004001
126,2019-03-16 10:45:00,151.74,76.14,2004001
127,2019-03-16 11:00:00,195.48,103.68,2004001
128,2019-03-16 11:15:00,149.04,76.14,2004001
129,2019-03-16 11:30:00,149.58,56.7,2004001
130,2019-03-16 11:45:00,143.1,63.18,2004001
131,2019-03-16 12:00:00,123.12,57.24,2004001
132,2019-03-16 12:15:00,139.86,71.82,2004001
133,2019-03-16 12:30:00,144.18,73.98,2004001
134,2019-03-16 12:45:00,183.06,97.2,2004001
135,2019-03-16 13:00:00,162.54,89.1,2004001
136,2019-03-16 13:15:00,152.28,81.0,2004001
137,2019-03-16 13:30:00,147.96,79.92,2004001
138,2019-03-16 13:45:00,142.56,0.0,2004001
139,2019-03-16 14:00:00,137.16,0.0,2004001
140,2019-03-16 14:15:00,144.72,0.0,2004001
141,2019-03-16 14:30:00,143.64,0.0,2004001
142,2019-03-16 14:45:00,187.38,0.0,2004001
143,2019-03-16 15:00:00,149.58,0.0,2004001
144,2019-03-16 15:15:00,145.8,0.0,2004001
145,2019-03-16 15:30:00,141.48,0.0,2004001
146,2019-03-16 15:45:00,144.72,0.0,2004001
147,2019-03-16 16:00:00,142.56,0.0,2004001
148,2019-03-16 16:15:00,140.4,0.0,2004001
149,2019-03-16 16:30:00,166.32,0.0,2004001
150,2019-03-16 16:45:00,132.84,0.0,2004001
151,2019-03-16 17:00:00,133.92,0.0,2004001
152,2019-03-16 17:15:00,136.62,0.0,2004001
153,2019-03-16 17:30:00,136.08,0.0,2004001
154,2019-03-16 17:45:00,146.88,0.0,2004001
155,2019-03-16 18:00:00,142.02,0.0,2004001
156,2019-03-16 18:15:00,169.02,0.0,2004001
157,2019-03-16 18:30:00,158.76,0.0,2004001
158,2019-03-16 18:45:00,138.78,0.0,2004001
159,2019-03-16 19:00:00,142.56,0.0,2004001
160,2019-03-16 19:15:00,140.94,0.0,2004001
161,2019-03-16 19:30:00,143.64,0.0,2004001
162,2019-03-16 19:45:00,144.18,73.98,2004001
163,2019-03-16 20:00:00,142.56,73.44,2004001
164,2019-03-16 20:15:00,177.12,97.2,2004001
165,2019-03-16 20:30:00,137.7,77.76,2004001
166,2019-03-16 20:45:00,123.12,72.36,2004001
167,2019-03-16 21:00:00,96.66,49.14,2004001
168,2019-03-16 21:15:00,86.94,49.68,2004001
169,2019-03-16 21:30:00,108.54,66.96,2004001
170,2019-03-16 21:45:00,93.96,52.38,2004001
171,2019-03-16 22:00:00,140.94,82.62,2004001
172,2019-03-16 22:15:00,99.9,59.4,2004001
173,2019-03-16 22:30:00,110.7,63.18,2004001
174,2019-03-16 22:45:00,108.0,44.82,2004001
175,2019-03-16 23:00:00,103.14,58.32,2004001
176,2019-03-16 23:15:00,111.78,66.96,2004001
177,2019-03-16 23:30:00,105.3,62.64,2004001
178,2019-03-16 23:45:00,136.62,78.3,2004001
179,2019-03-17 00:00:00,123.66,76.14,2004001
180,2019-03-17 00:15:00,110.7,66.42,2004001
181,2019-03-17 00:30:00,114.48,68.58,2004001
182,2019-03-17 00:45:00,107.46,64.26,2004001
183,2019-03-17 01:00:00,109.08,62.64,2004001
184,2019-03-17 01:15:00,104.76,60.48,2004001
185,2019-03-17 01:30:00,130.14,71.82,2004001
186,2019-03-17 01:45:00,100.98,54.54,2004001
187,2019-03-17 02:00:00,109.62,59.4,2004001
188,2019-03-17 02:15:00,114.48,58.32,2004001
189,2019-03-17 02:30:00,109.62,42.66,2004001
190,2019-03-17 02:45:00,105.3,55.62,2004001
191,2019-03-17 03:00:00,106.38,57.78,2004001
192,2019-03-17 03:15:00,176.04,103.14,2004001
193,2019-03-17 03:30:00,116.64,67.5,2004001
194,2019-03-17 03:45:00,116.64,66.42,2004001
195,2019-03-17 04:00:00,122.58,72.9,2004001
196,2019-03-17 04:15:00,125.82,76.14,2004001
197,2019-03-17 04:30:00,122.04,74.52,2004001
198,2019-03-17 04:45:00,114.48,66.96,2004001
199,2019-03-17 05:00:00,167.4,100.98,2004001
200,2019-03-17 05:15:00,120.42,72.9,2004001
201,2019-03-17 05:30:00,116.64,69.12,2004001
202,2019-03-17 05:45:00,106.92,62.1,2004001
203,2019-03-17 06:00:00,89.1,37.8,2004001
204,2019-03-17 06:15:00,102.06,37.8,2004001
205,2019-03-17 06:30:00,117.18,67.5,2004001
206,2019-03-17 06:45:00,133.38,78.84,2004001
207,2019-03-17 07:00:00,142.02,82.62,2004001
208,2019-03-17 07:15:00,103.14,58.86,2004001
209,2019-03-17 07:30:00,111.78,68.58,2004001
210,2019-03-17 07:45:00,106.92,61.02,2004001
211,2019-03-17 08:00:00,135.0,84.24,2004001
212,2019-03-17 08:15:00,150.66,84.78,2004001
213,2019-03-17 08:30:00,164.16,81.54,2004001
214,2019-03-17 08:45:00,172.8,84.78,2004001
215,2019-03-17 09:00:00,154.44,79.38,2004001
216,2019-03-17 09:15:00,156.06,78.84,2004001
217,2019-03-17 09:30:00,153.9,76.68,2004001
218,2019-03-17 09:45:00,153.9,68.04,2004001
219,2019-03-17 10:00:00,149.04,57.78,2004001
220,2019-03-17 10:15:00,139.86,62.1,2004001
221,2019-03-17 10:30:00,166.32,79.92,2004001
222,2019-03-17 10:45:00,150.66,74.52,2004001
223,2019-03-17 11:00:00,152.82,78.3,2004001
224,2019-03-17 11:15:00,151.74,76.14,2004001
225,2019-03-17 11:30:00,148.5,73.44,2004001
226,2019-03-17 11:45:00,149.58,74.52,2004001
227,2019-03-17 12:00:00,147.42,73.98,2004001
228,2019-03-17 12:15:00,187.38,96.12,2004001
229,2019-03-17 12:30:00,147.96,74.52,2004001
230,2019-03-23 02:30:00,274.32,106.92,2004001
231,2019-03-23 02:45:00,247.86,102.06,2004001
232,2019-03-23 03:00:00,294.3,91.8,2004001
233,2019-03-23 03:15:00,315.36,93.96,2004001
234,2019-03-23 03:30:00,382.86,112.86,2004001
235,2019-03-23 03:45:00,287.82,71.82,2004001
236,2019-03-23 04:00:00,271.08,81.54,2004001
237,2019-03-23 04:15:00,251.1,94.5,2004001
238,2019-03-23 04:30:00,228.42,104.76,2004001
239,2019-03-23 04:45:00,174.96,75.06,2004001
240,2019-03-23 05:00:00,145.8,70.74,2004001
241,2019-03-23 05:15:00,124.74,69.12,2004001
242,2019-03-23 05:30:00,98.82,49.68,2004001
243,2019-03-23 05:45:00,111.24,57.24,2004001
244,2019-03-23 06:00:00,162.0,90.18,2004001
245,2019-03-23 06:15:00,148.5,84.24,2004001
246,2019-03-23 06:30:00,135.0,78.84,2004001
247,2019-03-23 06:45:00,136.08,79.92,2004001
248,2019-03-23 07:00:00,138.24,81.54,2004001
249,2019-03-23 07:15:00,129.06,63.18,2004001
250,2019-03-23 07:30:00,127.98,58.86,2004001
251,2019-03-23 07:45:00,177.12,102.6,2004001
252,2019-03-23 08:00:00,136.08,81.0,2004001
253,2019-03-23 08:15:00,156.06,83.16,2004001
254,2019-03-23 08:30:00,168.48,86.4,2004001
255,2019-03-23 08:45:00,169.02,86.94,2004001
256,2019-03-23 09:00:00,170.1,84.24,2004001
257,2019-03-23 09:15:00,163.62,77.22,2004001
258,2019-03-23 09:30:00,210.6,107.46,2004001
259,2019-03-23 09:45:00,151.74,69.66,2004001
260,2019-03-23 10:00:00,143.64,64.8,2004001
261,2019-03-23 10:15:00,151.2,69.12,2004001
262,2019-03-23 10:30:00,163.08,77.22,2004001
263,2019-03-23 10:45:00,167.94,84.24,2004001
264,2019-03-23 11:00:00,190.08,86.4,2004001
265,2019-03-23 11:15:00,199.26,92.88,2004001
266,2019-03-23 11:30:00,170.64,85.86,2004001
267,2019-03-23 11:45:00,165.24,84.78,2004001
268,2019-03-23 12:00:00,167.94,84.24,2004001
