DATACOMUM,Unnamed: 0,PATIVA,PREATIVA,IDMEDIDOR
2019-07-08 00,0.5,20.28,-7.52,2006001.0
2019-07-08 01,3.5,19.759999999999998,-7.5,2006001.0
2019-07-08 02,7.5,20.12,-7.54,2006001.0
2019-07-08 03,11.5,19.76,-7.56,2006001.0
2019-07-08 04,15.5,19.7,-7.58,2006001.0
2019-07-08 05,19.5,20.52,-7.56,2006001.0
2019-07-08 06,23.5,20.86,-1.94,2006001.0
2019-07-08 07,27.5,24.98,0.0,2006001.0
2019-07-08 08,31.5,28.999999999999996,0.0,2006001.0
2019-07-08 09,35.5,32.36,0.0,2006001.0
2019-07-08 10,39.5,33.58,0.0,2006001.0
2019-07-08 11,43.5,34.2,0.0,2006001.0
2019-07-08 12,47.5,31.0,0.0,2006001.0
2019-07-08 13,51.5,31.68,0.0,2006001.0
2019-07-08 14,55.5,35.019999999999996,0.0,2006001.0
2019-07-08 15,59.5,36.32000000000001,0.0,2006001.0
2019-07-08 16,63.5,34.120000000000005,0.0,2006001.0
2019-07-08 17,963.5,28.599999999999998,0.0,2006001.0
2019-07-08 18,967.5,25.540000000000003,0.0,2006001.0
2019-07-08 19,971.5,23.96,0.0,2006001.0
2019-07-08 20,975.5,23.26,0.0,2006001.0
2019-07-08 21,979.5,22.8,0.0,2006001.0
2019-07-08 22,983.5,22.12,0.0,2006001.0
2019-07-08 23,987.5,21.540000000000003,0.0,2006001.0
2019-07-09 00,991.5,21.32,-5.28,2006001.0
2019-07-09 01,995.5,21.16,-7.0600000000000005,2006001.0
2019-07-09 02,999.5,20.959999999999997,-6.98,2006001.0
2019-07-09 03,1003.5,20.48,-7.06,2006001.0
2019-07-09 04,1007.5,20.44,-7.140000000000001,2006001.0
2019-07-09 05,1011.5,20.86,-7.140000000000001,2006001.0
2019-07-09 06,1015.5,22.02,-1.78,2006001.0
2019-07-09 07,1019.5,26.740000000000002,0.0,2006001.0
2019-07-09 08,1023.5,31.659999999999997,0.0,2006001.0
2019-07-09 09,1027.5,32.78,0.0,2006001.0
2019-07-09 10,1031.5,34.6,0.0,2006001.0
2019-07-09 11,1035.5,34.68,0.0,2006001.0
2019-07-09 12,1039.5,31.68,0.0,2006001.0
2019-07-09 13,1043.5,33.18,0.0,2006001.0
2019-07-09 14,1047.5,34.18,0.0,2006001.0
2019-07-09 15,1051.5,32.0,0.0,2006001.0
2019-07-09 16,1055.5,29.9,0.0,2006001.0
2019-07-09 17,1059.5,24.999999999999996,0.0,2006001.0
2019-07-09 18,1063.5,23.540000000000003,0.0,2006001.0
2019-07-09 19,816.75,21.68,0.0,2006001.0
2019-07-09 20,68.5,20.82,0.0,2006001.0
2019-07-09 21,72.5,20.64,0.0,2006001.0
2019-07-09 22,76.5,19.900000000000002,0.0,2006001.0
2019-07-09 23,80.5,19.26,0.0,2006001.0
2019-07-10 00,84.5,18.880000000000003,-5.84,2006001.0
2019-07-10 01,88.5,18.38,-7.72,2006001.0
2019-07-10 02,92.5,18.66,-7.68,2006001.0
2019-07-10 03,96.5,18.2,-7.68,2006001.0
2019-07-10 04,100.5,17.800000000000004,-7.78,2006001.0
2019-07-10 05,104.5,18.48,-7.779999999999999,2006001.0
2019-07-10 06,108.5,18.78,-1.94,2006001.0
2019-07-10 07,112.5,24.279999999999998,0.0,2006001.0
2019-07-10 08,116.5,28.74,0.0,2006001.0
2019-07-10 09,120.5,31.62,0.0,2006001.0
2019-07-10 10,124.5,31.340000000000003,0.0,2006001.0
2019-07-10 11,128.5,32.040000000000006,0.0,2006001.0
2019-07-10 12,132.5,26.94,0.0,2006001.0
2019-07-10 13,136.5,28.66,0.0,2006001.0
2019-07-10 14,140.5,32.980000000000004,0.0,2006001.0
2019-07-10 15,144.5,33.66,0.0,2006001.0
2019-07-10 16,148.5,32.980000000000004,0.0,2006001.0
2019-07-10 17,152.5,25.72,0.0,2006001.0
2019-07-10 18,156.5,22.479999999999997,0.0,2006001.0
2019-07-10 19,160.5,22.08,0.0,2006001.0
2019-07-10 20,164.5,20.46,0.0,2006001.0
2019-07-10 21,168.5,20.28,0.0,2006001.0
2019-07-10 22,172.5,19.34,0.0,2006001.0
2019-07-10 23,176.5,18.9,0.0,2006001.0
2019-07-11 00,180.5,18.24,-5.58,2006001.0
2019-07-11 01,184.5,18.14,-7.54,2006001.0
2019-07-11 02,188.5,18.599999999999998,-7.32,2006001.0
2019-07-11 03,192.5,18.0,-7.540000000000001,2006001.0
2019-07-11 04,196.5,17.84,-7.58,2006001.0
2019-07-11 05,200.5,18.299999999999997,-7.6,2006001.0
2019-07-11 06,204.5,19.46,-1.94,2006001.0
2019-07-11 07,208.5,24.88,0.0,2006001.0
2019-07-11 08,212.5,29.76,0.0,2006001.0
2019-07-11 09,216.5,31.92,0.0,2006001.0
2019-07-11 10,220.5,34.120000000000005,0.0,2006001.0
2019-07-11 11,224.5,33.84,0.0,2006001.0
2019-07-11 12,228.5,31.42,0.0,2006001.0
2019-07-11 13,232.5,31.96,0.0,2006001.0
2019-07-11 14,236.5,34.699999999999996,0.0,2006001.0
2019-07-11 15,240.5,34.34,0.0,2006001.0
2019-07-11 16,244.5,33.81999999999999,0.0,2006001.0
2019-07-11 17,248.5,28.099999999999998,0.0,2006001.0
2019-07-11 18,252.5,24.459999999999997,0.0,2006001.0
2019-07-11 19,256.5,21.62,0.0,2006001.0
2019-07-11 20,260.5,20.080000000000002,0.0,2006001.0
2019-07-11 21,264.5,20.019999999999996,0.0,2006001.0
2019-07-11 22,268.5,20.42,0.0,2006001.0
2019-07-11 23,272.5,20.04,0.0,2006001.0
2019-07-12 00,276.5,19.12,-5.8,2006001.0
2019-07-12 01,280.5,18.36,-7.699999999999999,2006001.0
2019-07-12 02,284.5,18.54,-7.739999999999999,2006001.0
2019-07-12 03,288.5,18.220000000000002,-7.66,2006001.0
2019-07-12 04,292.5,17.96,-7.68,2006001.0
2019-07-12 05,296.5,18.86,-7.5200000000000005,2006001.0
2019-07-12 06,300.5,18.9,-1.98,2006001.0
2019-07-12 07,304.5,24.439999999999998,0.0,2006001.0
2019-07-12 08,308.5,30.36,0.0,2006001.0
2019-07-12 09,312.5,31.82,0.0,2006001.0
2019-07-12 10,316.5,33.56,0.0,2006001.0
