,DATA,POTENCIA,RADIACAO,TEMPERATURA,P/R,R/P
0,2019-07-08 00,20.28,0,15.9,,0.0
1,2019-07-08 01,19.76,0,14.3,,0.0
2,2019-07-08 02,20.12,0,13.7,,0.0
3,2019-07-08 03,19.76,0,12.8,,0.0
4,2019-07-08 04,19.7,0,11.9,,0.0
5,2019-07-08 05,20.52,0,10.6,,0.0
6,2019-07-08 06,20.86,0,9.9,,0.0
7,2019-07-08 07,24.98,0,8.6,,0.0
8,2019-07-08 08,29.0,0,8.9,,0.0
9,2019-07-08 09,32.36,0,9.6,,0.0
10,2019-07-08 10,33.58,11901.0,9.4,,354.4073853484217
11,2019-07-08 11,34.2,480529.0,12.9,,14050.555555555555
12,2019-07-08 12,31.0,1245694.0,17.2,,40183.67741935484
13,2019-07-08 13,31.68,1870112.0,22.0,,59031.31313131313
14,2019-07-08 14,35.02,2330444.0,25.5,,66546.087949743
15,2019-07-08 15,36.32000000000001,2538394.0,27.2,,69889.7026431718
16,2019-07-08 16,34.120000000000005,2562608.0,28.4,,75105.74443141851
17,2019-07-08 17,28.6,2397062.0,29.7,,83813.35664335664
18,2019-07-08 18,25.540000000000006,1998602.0,30.2,,78253.79796397805
19,2019-07-08 19,23.96,1156218.0,29.4,,48256.17696160267
20,2019-07-08 20,23.26,157228.0,27.9,,6759.587274290628
21,2019-07-08 21,22.8,39907.0,24.5,,1750.3070175438595
22,2019-07-08 22,22.12,0,22.3,,0.0
23,2019-07-08 23,21.540000000000006,0,21.3,,0.0
24,2019-07-09 00,21.32,0,19.1,,0.0
25,2019-07-09 01,21.16,0,19.2,,0.0
26,2019-07-09 02,20.96,0,18.2,,0.0
27,2019-07-09 03,20.48,0,18.0,,0.0
28,2019-07-09 04,20.44,0,17.3,,0.0
29,2019-07-09 05,20.86,0,16.8,,0.0
30,2019-07-09 06,22.02,0,14.8,,0.0
31,2019-07-09 07,26.74,0,14.0,,0.0
32,2019-07-09 08,31.66,0,14.4,,0.0
33,2019-07-09 09,32.78,0,14.4,,0.0
34,2019-07-09 10,34.6,12549.0,14.5,,362.6878612716763
35,2019-07-09 11,34.68,454959.0,17.1,,13118.771626297577
36,2019-07-09 12,31.68,1200621.0,20.5,,37898.39015151515
37,2019-07-09 13,33.18,1838269.0,24.3,,55402.92344786016
38,2019-07-09 14,34.18,2299329.0,25.7,,67271.18197776478
39,2019-07-09 15,32.0,2512132.0,26.9,,78504.125
40,2019-07-09 16,29.9,2558885.0,28.0,,85581.43812709031
41,2019-07-09 17,25.0,2411765.0,28.0,,96470.6
42,2019-07-09 18,23.540000000000006,2025.51,28.6,,86.04545454545452
43,2019-07-09 19,21.68,1192876.0,28.3,,55021.9557195572
44,2019-07-09 20,20.82,154404.0,26.7,,7416.138328530259
45,2019-07-09 21,20.64,37824.0,23.5,,1832.5581395348836
46,2019-07-09 22,19.9,0,21.4,,0.0
47,2019-07-09 23,19.26,0,20.7,,0.0
48,2019-07-10 00,18.880000000000006,0,19.6,,0.0
49,2019-07-10 01,18.38,0,18.7,,0.0
50,2019-07-10 02,18.66,0,17.0,,0.0
51,2019-07-10 03,18.2,0,16.4,,0.0
52,2019-07-10 04,17.800000000000004,0,17.2,,0.0
53,2019-07-10 05,18.48,0,14.5,,0.0
54,2019-07-10 06,18.78,0,13.5,,0.0
55,2019-07-10 07,24.28,0,13.9,,0.0
56,2019-07-10 08,28.74,0,13.0,,0.0
57,2019-07-10 09,31.62,0,12.1,,0.0
