,DATA,POTENCIA,RADIACAO,TEMPERATURA,P/R,R/P
0,2019-07-08 10,33.58,11901.0,9.4,,354.4073853484217
1,2019-07-08 11,34.2,480529.0,12.9,,14050.555555555555
2,2019-07-08 12,31.0,1245694.0,17.2,,40183.67741935484
3,2019-07-08 13,31.68,1870112.0,22.0,,59031.31313131313
4,2019-07-08 14,35.02,2330444.0,25.5,,66546.087949743
5,2019-07-08 15,36.32000000000001,2538394.0,27.2,,69889.7026431718
6,2019-07-08 16,34.120000000000005,2562608.0,28.4,,75105.74443141851
7,2019-07-08 17,28.6,2397062.0,29.7,,83813.35664335664
8,2019-07-08 18,25.540000000000006,1998602.0,30.2,,78253.79796397805
9,2019-07-08 19,23.96,1156218.0,29.4,,48256.17696160267
10,2019-07-08 20,23.26,157228.0,27.9,,6759.587274290628
11,2019-07-08 21,22.8,39907.0,24.5,,1750.3070175438595
12,2019-07-09 10,34.6,12549.0,14.5,,362.6878612716763
13,2019-07-09 11,34.68,454959.0,17.1,,13118.771626297577
14,2019-07-09 12,31.68,1200621.0,20.5,,37898.39015151515
15,2019-07-09 13,33.18,1838269.0,24.3,,55402.92344786016
16,2019-07-09 14,34.18,2299329.0,25.7,,67271.18197776478
17,2019-07-09 15,32.0,2512132.0,26.9,,78504.125
18,2019-07-09 16,29.9,2558885.0,28.0,,85581.43812709031
19,2019-07-09 17,25.0,2411765.0,28.0,,96470.6
20,2019-07-09 18,23.540000000000006,2025.51,28.6,,86.04545454545452
21,2019-07-09 19,21.68,1192876.0,28.3,,55021.9557195572
22,2019-07-09 20,20.82,154404.0,26.7,,7416.138328530259
23,2019-07-09 21,20.64,37824.0,23.5,,1832.5581395348836
24,2019-07-10 10,31.340000000000003,11463.0,12.2,,365.7626037013401
25,2019-07-10 11,32.040000000000006,498659.0,16.2,,15563.639200998748
26,2019-07-10 12,26.94,1282.64,21.0,,47.610987379361546
27,2019-07-10 13,28.66,1945847.0,23.1,,67894.17306350314
28,2019-07-10 14,32.980000000000004,2412127.0,24.6,,73139.08429351122
29,2019-07-10 15,33.66,2612124.0,25.5,,77603.20855614974
30,2019-07-10 16,32.980000000000004,2639.72,27.0,,80.04002425712551
31,2019-07-10 17,25.72,2476581.0,27.7,,96290.08553654744
32,2019-07-10 18,22.48,2106658.0,27.5,,93712.54448398577
33,2019-07-10 19,22.08,1241557.0,27.3,,56229.9365942029
34,2019-07-10 20,20.46,135729.0,26.1,,6633.870967741936
35,2019-07-10 21,20.28,32886.0,22.1,,1621.5976331360946
36,2019-07-11 10,34.120000000000005,12144.0,9.9,,355.92028135990614
37,2019-07-11 11,33.84,478692.0,14.9,,14145.744680851063
38,2019-07-11 12,31.42,1250011.0,18.2,,39783.92743475493
39,2019-07-11 13,31.96,1870993.0,22.2,,58541.70838548185
40,2019-07-11 14,34.7,2312609.0,25.9,,66645.7925072046
41,2019-07-11 15,34.34,2525.82,27.9,,73.55329062317996
42,2019-07-11 16,33.81999999999999,2560841.0,29.3,,75719.72205795388
43,2019-07-11 17,28.1,2406479.0,28.8,,85639.82206405693
44,2019-07-11 18,24.46,2026841.0,29.1,,82863.49141455437
45,2019-07-11 19,21.62,1193719.0,29.2,,55213.644773358
46,2019-07-11 20,20.08,137018.0,28.0,,6823.605577689244
47,2019-07-11 21,20.02,35768.0,24.2,,1786.6133866133866
48,2019-07-12 10,33.56,13061.0,11.2,,389.1835518474374
49,2019-07-12 11,33.26,447615.0,16.1,,13458.0577269994
50,2019-07-12 12,30.52,1188258.0,19.2,,38933.74836173002
51,2019-07-12 13,30.84,1834679.0,23.0,,59490.23994811933
52,2019-07-12 14,32.74,2262661.0,26.8,,69109.98778252902
53,2019-07-12 15,31.76,2471031.0,29.6,,77803.24307304785
54,2019-07-12 16,27.84,2514823.0,30.4,,90331.28591954023
55,2019-07-12 17,24.26,2361374.0,30.6,,97336.10882110469
56,2019-07-12 18,24.14,1906829.0,29.8,,78990.4308202154
57,2019-07-12 19,23.16,771323.0,29.2,,33304.101899827285
58,2019-07-12 20,21.12,265839.0,28.5,,12587.073863636362
59,2019-07-12 21,20.48,77192.0,26.6,,3769.140625
60,2019-07-13 10,20.82,14285.0,13.5,,686.11911623439
61,2019-07-13 11,21.22,446874.0,16.7,,21059.09519321395
62,2019-07-13 12,20.46,1183751.0,20.7,,57856.84261974585
63,2019-07-13 13,19.1,1812.64,24.4,,94.90261780104711
64,2019-07-13 14,18.76,2245229.0,28.6,,119681.71641791044
65,2019-07-13 15,18.4,2483.24,30.1,,134.9586956521739
66,2019-07-13 16,18.04,2537.46,31.1,,140.65742793791574
67,2019-07-13 17,18.4,2384418.0,31.1,,129587.9347826087
68,2019-07-13 18,19.62,1945714.0,31.4,,99169.92864424057
69,2019-07-13 19,20.22,765029.0,27.8,,37835.26211671613
70,2019-07-13 20,19.44,162974.0,28.2,,8383.436213991768
71,2019-07-13 21,19.5,44907.0,24.9,,2302.923076923077
72,2019-07-14 11,17.76,447014.0,16.3,,25169.707207207204
73,2019-07-14 12,17.5,1224266.0,19.8,,69958.05714285714
74,2019-07-14 13,17.62,1848.69,23.7,,104.9199772985244
75,2019-07-14 14,17.6,2312079.0,30.1,,131368.125
76,2019-07-14 15,17.58,2526157.0,30.1,,143694.9374288965
77,2019-07-14 16,17.939999999999994,2557624.0,30.4,,142565.44035674474
78,2019-07-14 17,18.48,2408632.0,30.3,,130337.22943722943
79,2019-07-14 18,19.520000000000003,2027624.0,31.4,,103874.18032786883
80,2019-07-14 19,19.88,1217129.0,31.2,,61223.79275653924
81,2019-07-14 20,19.22,163796.0,29.0,,8522.16441207076
82,2019-07-14 21,19.16,45529.0,25.3,,2376.2526096033403
83,2019-07-15 10,31.52,14411.0,12.3,,457.2017766497462
84,2019-07-15 11,32.26,447559.0,15.6,,13873.496590204588
85,2019-07-15 12,30.000000000000004,1137839.0,20.1,,37927.96666666666
86,2019-07-15 13,31.880000000000006,1805752.0,24.0,,56642.15809284817
87,2019-07-15 14,34.46,2266731.0,30.0,,65778.61288450377
88,2019-07-15 15,33.88,2496664.0,30.7,,73691.3813459268
89,2019-07-15 16,32.06,2521278.0,31.0,,78642.48284466624
90,2019-07-15 17,26.6,2360931.0,30.9,,88756.80451127818
91,2019-07-15 18,24.14,2038836.0,31.0,,84458.82352941176
92,2019-07-15 19,23.4,1130073.0,28.8,,48293.71794871795
93,2019-07-15 20,21.46,282249.0,29.6,,13152.329916123019
94,2019-07-15 21,21.18,79402.0,26.3,,3748.9140698772426
95,2019-07-16 10,30.94,18908.0,13.5,,611.1182934712347
96,2019-07-16 11,30.26,420356.0,16.8,,13891.473892927957
97,2019-07-16 12,30.76,1002481.0,20.4,,32590.409622886866
98,2019-07-16 13,31.28,1732303.0,24.3,,55380.53069053708
99,2019-07-16 14,35.88,2212828.0,26.5,,61673.02118171683
100,2019-07-16 15,35.23999999999999,2378.57,28.4,,67.49631101021569
101,2019-07-16 16,34.28,2399496.0,29.5,,69996.96616102684
102,2019-07-16 17,27.42,2243.54,29.9,,81.82129832239241
103,2019-07-16 18,25.040000000000006,1963992.0,28.9,,78434.18530351436
104,2019-07-16 19,24.22,777849.0,30.1,,32115.978530140383
105,2019-07-16 20,22.700000000000006,335752.0,28.4,,14790.837004405283
106,2019-07-17 10,35.55999999999999,13979.0,14.4,,393.1102362204726
107,2019-07-17 11,35.42,429681.0,17.9,,12131.02766798419
108,2019-07-17 12,32.82,1173467.0,21.0,,35754.63132236441
109,2019-07-17 13,35.98,1794.65,24.3,,49.879099499722074
110,2019-07-17 14,37.44,2239.75,25.7,,59.822382478632484
111,2019-07-17 15,34.98,2456076.0,27.3,,70213.72212692969
112,2019-07-17 16,34.42,2503661.0,28.2,,72738.55316676351
113,2019-07-17 17,28.28,2361244.0,28.7,,83495.1909476662
114,2019-07-17 18,26.0,1985923.0,29.8,,76381.65384615384
115,2019-07-17 19,23.62,999865.0,27.8,,42331.28704487722
116,2019-07-17 20,22.76,187125.0,27.5,,8221.660808435852
117,2019-07-17 21,22.66,47755.0,24.9,,2107.458075904678
118,2019-07-18 10,33.099999999999994,16225.0,13.6,,490.1812688821753
119,2019-07-18 11,34.44,414568.0,16.6,,12037.39837398374
120,2019-07-18 12,32.34,1156738.0,21.5,,35768.02721088435
121,2019-07-18 13,34.8,1792651.0,25.2,,51512.95977011495
122,2019-07-18 14,35.44,2231907.0,26.6,,62977.059819413094
123,2019-07-18 15,36.8,2445546.0,28.5,,66455.0543478261
124,2019-07-18 16,36.2,2497469.0,29.0,,68990.85635359115
125,2019-07-18 17,27.82,2314.52,29.6,,83.19626168224299
126,2019-07-18 18,26.74,1374073.0,29.3,,51386.42483171279
127,2019-07-18 19,21.74,1313682.0,29.7,,60426.95492180313
128,2019-07-18 20,19.78,299104.0,28.4,,15121.53690596562
129,2019-07-18 21,19.34,64679.0,26.3,,3344.3123061013443
130,2019-07-19 10,37.72,15532.0,18.3,,411.7709437963945
131,2019-07-19 11,36.42,442568.0,20.4,,12151.784733662822
132,2019-07-19 12,33.54,1194236.0,21.9,,35606.32081097198
133,2019-07-19 13,33.44,1825516.0,23.7,,54590.78947368421
134,2019-07-19 14,35.37999999999999,2268768.0,24.9,,64125.720746184306
135,2019-07-19 15,33.26,2495481.0,26.9,,75029.49488875526
136,2019-07-19 16,28.98,2527485.0,27.6,,87214.8033126294
137,2019-07-19 17,25.9,2379782.0,28.2,,91883.47490347491
138,2019-07-19 18,18.32,2016.29,28.6,,110.05949781659389
139,2019-07-19 19,15.74,1314054.0,27.8,,83485.00635324015
140,2019-07-19 20,15.1,186166.0,27.0,,12328.874172185431
141,2019-07-19 21,14.86,47601.0,24.1,,3203.297442799462
142,2019-07-20 10,21.8,15939.0,13.7,,731.1467889908257
